entity_name,manual,elisa,embedding,topological,thesaurus_affinity,ood_embedding_ai,ood_embedding_literature,ood_embedding_music,ood_embedding_news,ood_embedding_politics,ood_embedding_science
politician,person,person,violinist,causal_agent,journalist,journalist,elections,journalist,journalist,author,UDBKL
person,person,person,convention,causal_agent,journalist,journalist,elections,convention,convention,IWEBE,UDBKL
writer,person,person,violinist,causal_agent,journalist,journalist,author,journalist,journalist,author,songwriter
researcher,person,person,violinist,causal_agent,journalist,journalist,author,journalist,journalist,author,songwriter
scientist,person,person,violinist,causal_agent,journalist,journalist,author,journalist,journalist,author,songwriter
musicalartist,person,person,violinist,causal_agent,journalist,songs,songs,journalist,journalist,songs,songwriter
organisation,organisation,organisation,convention,group,group,multiprogram,venue,convention,convention,IPBES,UDBKL
politicalparty,organisation,organisation,convention,group,group,multiprogram,elections,convention,convention,IPBES,UDBKL
university,organisation,organisation,IWEBE,group,group,multiprogram,campus,IWEBE,IWEBE,IWEBE,UDBKL
band,organisation,organisation,songs,group,group,songs,songs,songs,songs,songs,songwriter
country,location,location,IWEBE,group,group,multiprogram,campus,IWEBE,IWEBE,IWEBE,UDBKL
location,location,location,convention,object,journalist,multiprogram,venue,convention,convention,IPBES,UDBKL
event,event,event,convention,psychological_feature,pleiotropy,multiprogram,venue,convention,convention,IPBES,UDBKL
election,event,event,convention,psychological_feature,pleiotropy,journalist,elections,convention,convention,IPBES,UDBKL
award,event,misc,convention,communication,poems,multiprogram,venue,convention,convention,IPBES,UDBKL
conference,event,event,convention,group,group,multiprogram,venue,convention,convention,IPBES,UDBKL
album,artifact,misc,songs,object,journals,songs,songs,songs,songs,songs,songwriter
song,artifact,misc,songs,communication,poems,songs,songs,songs,songs,songs,songwriter
academicjournal,artifact,misc,essay,object,journals,essay,author,journals,journals,author,essay
poem,artifact,misc,essay,communication,poems,essay,songs,songs,songs,songs,essay
magazine,artifact,misc,essay,object,journals,essay,author,journals,journals,author,essay
book,artifact,misc,essay,object,journals,essay,author,journals,journals,author,essay
metrics,scientific,misc,proteins,measure,pleiotropy,multiprogram,enzymes,proteins,proteins,proteins,enzymes
enzyme,scientific,misc,proteins,matter,enzymes,proteins,enzymes,proteins,proteins,proteins,enzymes
protein,scientific,misc,proteins,thing,enzymes,proteins,enzymes,proteins,proteins,proteins,enzymes
chemicalcompound,scientific,misc,proteins,matter,enzymes,proteins,enzymes,proteins,proteins,proteins,enzymes
chemicalelement,scientific,misc,proteins,matter,enzymes,proteins,enzymes,proteins,proteins,proteins,enzymes
astronomicalobject,scientific,misc,IWEBE,group,group,proteins,campus,IWEBE,IWEBE,proteins,UDBKL
theory,concept,misc,essay,psychological_feature,pleiotropy,multiprogram,enzymes,journals,journals,IPBES,essay
musicgenre,concept,misc,songs,psychological_feature,pleiotropy,songs,songs,songs,songs,songs,songwriter
field,concept,misc,IWEBE,psychological_feature,pleiotropy,multiprogram,campus,IWEBE,IWEBE,IWEBE,UDBKL
discipline,concept,misc,IWEBE,psychological_feature,pleiotropy,multiprogram,enzymes,IWEBE,IWEBE,IPBES,enzymes
algorithm,concept,misc,proteins,psychological_feature,pleiotropy,proteins,enzymes,proteins,proteins,proteins,enzymes
literarygenre,concept,misc,songs,psychological_feature,pleiotropy,songs,songs,songs,songs,songs,songwriter
product,brand,misc,IWEBE,object,journals,multiprogram,enzymes,IWEBE,IWEBE,IWEBE,enzymes
programlang,brand,misc,proteins,communication,poems,proteins,enzymes,proteins,proteins,proteins,enzymes
misc,misc,misc,IWEBE,assorted,pleiotropy,proteins,campus,IWEBE,IWEBE,IWEBE,enzymes
musicalinstrument,misc,misc,violinist,object,journals,songs,songs,songs,songs,songs,songwriter
task,misc,misc,IWEBE,psychological_feature,pleiotropy,multiprogram,venue,IWEBE,IWEBE,IPBES,UDBKL
